CRN,COURSE,COLL,CRED,DELIVERY,TITLE,PROFS,TERM,TIMEBLOCK,ROOM
47006,BSAD 231:22,BU,3,,Foundations of Marketing,"Mukerji, Bhasker",2ND,Z7/Z8,SCHW205
48249,BSAD 241:21,BU,3,,Financial Management I,"SAD – TBA2, B",2ND,X1/X2,SCHW215
50069,BSAD 241:22,BU,3,,Financial Management I,"SAD – TBA2, B",2ND,X4/X5,SCHW215
50095,BSAD 241:23,BU,3,,Financial Management I,"Parikh, Bhavik",2ND,O4/O5,SCHW215
50097,BSAD 241:24,BU,3,,Financial Management I,"Parikh, Bhavik",2ND,O7/O8,SCHW215
47008,BSAD 261:11,BU,3,Online-Scheduled Delivery,Organizational Behaviour,"Lent, Monica",1ST,Z4/Z5,
47009,BSAD 261:12,BU,3,Online-Scheduled Delivery,Organizational Behaviour,"Lent, Monica",1ST,Z7/Z8,
50714,BSAD 261:21,BU,3,,Organizational Behaviour,"Price, Shelley",2ND,W4/W5,SCHW215
53998,BSAD 261:22,BU,3,,Organizational Behaviour,"Price, Shelley",2ND,W7/W8,SCHW215
55806,BSAD 261L:11,BU,0,Online-Scheduled Delivery,BSAD 261 Lab,"MacDonnell, Moira (Anne)",1ST,O1,
55807,BSAD 261L:12,BU,0,Online-Scheduled Delivery,BSAD 261 Lab,"MacDonnell, Moira (Anne)",1ST,U2,
52031,BSAD 281:11,BU,3,In-Person,Foundations Information Tech.,"Mattie, David",1ST,J1/J2,SCHW205
52032,BSAD 281:12,BU,3,Online-Scheduled Delivery,Foundations Information Tech.,"Palanisamy, Ramaraj",1ST,Z4/Z5,
54121,BSAD 281:21,BU,3,,Foundations Information Tech.,"Mattie, David",2ND,U1/U2,SCHW152
55374,BSAD 281:22,BU,3,,Foundations Information Tech.,"SAD - TBA5, B",2ND,U4/U5,SCHW156
43829,BSAD 321:11,BU,3,In-Person,Intermed Managerial Account I,"Alex, Jennifer",1ST,Z4/Z5,SCHW152
43599,BSAD 321:12,BU,3,In-Person,Intermed Managerial Account I,"Alex, Jennifer",1ST,Z7/Z8,SCHW152
45047,BSAD 322:21,BU,3,,Intermed Managerial Account II,"Alex, Jennifer",2ND,Z4/Z5,SCHW152
55375,BSAD 322:22,BU,3,,Intermed Managerial Account II,"Alex, Jennifer",2ND,Z7/Z8,SCHW152
47012,BSAD 323:11,BU,3,Online-Scheduled Delivery,Intermed Financ Accounting I,"Madden, Robert",1ST,W1/W2,
43828,BSAD 323:12,BU,3,Online-Scheduled Delivery,Intermed Financ Accounting I,"Madden, Robert",1ST,W4/W5,
47013,BSAD 324:21,BU,3,,Intermed Financ Accounting II,"Madden, Robert",2ND,W1/W2,SCHW205
55376,BSAD 324:22,BU,3,,Intermed Financ Accounting II,"Madden, Robert",2ND,W4/W5,SCHW205
55780,BSAD 331:10,BU,3,In-Person,Marketing Management,"Mahaffey, Thomas",1ST,X1/X2,SCHW152
55781,BSAD 331:12,BU,3,In-Person,Marketing Management,"Mahaffey, Thomas",1ST,X4/X5,SCHW152
54001,BSAD 332:21,BU,3,,Marketing Research,"Mahaffey, Thomas",2ND,Z1/Z2,SCHW252
54002,BSAD 332:22,BU,3,,Marketing Research,"Mahaffey, Thomas",2ND,Z4/Z5,SCHW252
54003,BSAD 333:21,BU,3,,Prof Sales: Bldg Relationships,"Anthony, Denton",2ND,W4/W5,SCHW152
54004,BSAD 333:22,BU,3,,Prof Sales: Bldg Relationships,"Anthony, Denton",2ND,W7/W8,SCHW290
54005,BSAD 335:11,BU,3,In-Person,Consumer Behaviour,"Morrison, Bobbi",1ST,W1/W2,SCHW156
54006,BSAD 335:12,BU,3,In-Person,Consumer Behaviour,"Morrison, Bobbi",1ST,W4/W5,SCHW205
48822,BSAD 342:11,BU,3,Online-Scheduled Delivery,Financial Management II,"Nguyen, Yen",1ST,U4/U5,
48823,BSAD 342:12,BU,3,Online-Scheduled Delivery,Financial Management II,"Nguyen, Yen",1ST,U7/U8,
50718,BSAD 342:13,BU,3,In-Person,Financial Management II,"Hynes, Timothy",1ST,W7/W8,SCHW156
55523,BSAD 344:21,BU,3,,Investment Management,"Vishwakarma, Vijay",2ND,O4/O5,SCHW152
55524,BSAD 344:22,BU,3,,Investment Management,"Vishwakarma, Vijay",2ND,O7/O8,SCHW152
51372,BSAD 345:21,BU,3,,Personal Financial Management,"Nguyen, Yen",2ND,U4/U5,SCHW152
51373,BSAD 345:22,BU,3,,Personal Financial Management,"Nguyen, Yen",2ND,U7/U8,SCHW215
55525,BSAD 346:11,BU,3,Online-Scheduled Delivery,Financial Statement Analysis,"Vishwakarma, Vijay",1ST,O4/O5,
55526,BSAD 346:12,BU,3,Online-Scheduled Delivery,Financial Statement Analysis,"Vishwakarma, Vijay",1ST,O7/O8,
52040,BSAD 348:11,BU,3,In-Person,Financial & Banking Inst.,"Parikh, Bhavik",1ST,O4/O5,SCHW156
55378,BSAD 348:12,BU,3,In-Person,Financial & Banking Inst.,"Parikh, Bhavik",1ST,O1/O2,SCHW215
54708,BSAD 349:20,BU,3,,Int'l Financial Management,"Nguyen, Yen",2ND,U1/U2,SCHW156
55757,BSAD 351:20,BU,3,,Business Law,"Boyd, Christopher",2ND,T3,
55359,BSAD 352:10,BU,3,Online-Scheduled Delivery,Social Entrepreneurship,"Lent, Monica",1ST,O4/O5,
55361,BSAD 356:21,BU,3,,Entrepre & Venture Development,"Brennan, Theresa (Louise)",2ND,Z1/Z2,SCHW156
55362,BSAD 356:22,BU,3,,Entrepre & Venture Development,"Brennan, Theresa (Louise)",2ND,Z4/Z5,SCHW156
55363,BSAD 357:11,BU,3,In-Person,International Business,"Litz, Stefan",1ST,U7/U8,SCHW152
55364,BSAD 357:12,BU,3,In-Person,International Business,"Litz, Stefan",1ST,I1/I2,SCHW215
54122,BSAD 358:11,BU,3,In-Person,Business Ethics,"Long, Bradley",1ST,X1/X2,SCHW215
55365,BSAD 358:12,BU,3,In-Person,Business Ethics,"Long, Bradley",1ST,X4/X5,SCHW215
54123,BSAD 358:20,BU,3,,Business Ethics,"Leung, Opal",2ND,U7/U8,SCHW152
54010,BSAD 361:11,BU,3,In-Person,Organizational Analysis,"Leung, Opal",1ST,J1/J2,SCHW215
54724,BSAD 361:12,BU,3,Online-Scheduled Delivery,Organizational Analysis,"Leung, Opal",1ST,W7/W8,
54711,BSAD 362:20,BU,3,,Career Dynamics,"Leung, Opal",2ND,E4,SCHW152
54713,BSAD 363:20,BU,3,,Human Resource Management,"Litz, Stefan",2ND,U1/U2,SCHW290
53621,BSAD 367:10,BU,3,In-Person,Gender and Management,"Price, Shelley",1ST,U7/U8,SCHW205
54012,BSAD 382:10,BU,3,Online-Scheduled Delivery,Intro Enterprise Systems: SAP,"Palanisamy, Ramaraj",1ST,O4/O5,
55710,BSAD 383:20,BU,3,,Mobile Commerce,"Palanisamy, Ramaraj",2ND,O4/O5,SCHW156
52050,BSAD 384:10,BU,3,In-Person,Data Management & Analytics,"Mattie, David",1ST,W1/W2,SCHW256
55530,BSAD 385:20,BU,3,,MGMT Reporting Using ABAP,"SAD - TBA4, B",2ND,S4/S5,SCHW252
55527,BSAD 386:10,BU,3,Online-No Scheduled Delivery,Project Management & Practice,"SAD - TBA5, B",1ST,W4/W5,
52852,BSAD 391:20,BU,3,,Found of Management Research,"Mahaffey, Thomas",2ND,Z7/Z8,SCHW290
55366,BSAD 424:10,BU,3,In-Person,Financial Accounting Theory,"Oxner, Mary",1ST,T3,SCHW152
55367,BSAD 425:21,BU,3,,Auditing,"McIver, Rhonda",2ND,Z4/Z5,SCHW289
55368,BSAD 425:22,BU,3,,Auditing,"McIver, Rhonda",2ND,Z7/Z8,SCHW215
52057,BSAD 426:10,BU,3,In-Person,Adv Financial Accounting I,"Oxner, Mary",1ST,U7/U8,SCHW156
50077,BSAD 428:20,BU,3,,Adv Financial Accounting II,"MacAulay, Kenneth",2ND,W7/W8,SCHW152
54017,BSAD 434:10,BU,3,In-Person,Marketing Communications,"Anthony, Denton",1ST,Z7/Z8,SCHW205
55709,BSAD 436:20,BU,3,,Brand Management,"Anthony, Denton",2ND,W1/W2,SCHW156
54717,BSAD 437:10,BU,3,Online-Scheduled Delivery,Digital Marketing,"Mukerji, Bhasker",1ST,U4/U5,
55528,BSAD 444:20,BU,3,,Advanced Financial Management,"Parikh, Bhavik",2ND,O1/O2,SCHW256
54719,BSAD 449:11,BU,3,In-Person,Portfolio Management,"Huang, Jianning",1ST,X1/X2,SCHW252
54725,BSAD 449:12,BU,3,In-Person,Portfolio Management,"Huang, Jianning",1ST,X4/X5,SCHW252
55734,BSAD 450:11,BU,3,In-Person,Personal Taxation,"McIver, Rhonda",1ST,U1/U2,SCHW152
55735,BSAD 450:12,BU,3,In-Person,Personal Taxation,"McIver, Rhonda",1ST,U4/U5,SCHW152
54019,BSAD 451:10,BU,3,In-Person,Cases in Int'l Busines,"Litz, Stefan",1ST,U4/U5,SCHW156
54727,BSAD 452:20,BU,3,,Comparative Int'l Strategy,"Fuller, Mark",2ND,X4/X5,SCHW289
55369,BSAD 453:10,BU,3,In-Person,Entrepreneurial Finance,"Maltby, Neil",1ST,W1/W2,SCHW215
55372,BSAD 456:10,BU,3,In-Person,Small Business Management,"Maltby, Neil",1ST,W7/W8,SCHW215
55846,BSAD 458:20,BU,3,,New Venture Development,"Maltby, Neil",2ND,Z7/Z8,
55736,BSAD 460:20,BU,3,,Corporate Taxation,"McIver, Rhonda",2ND,Z1/Z2,SCHW215
54021,BSAD 461:10,BU,3,Online-Scheduled Delivery,Leadership,"Leung, Opal",1ST,Z7/Z8,
54022,BSAD 462:20,BU,3,,Employee & Labour Relations,"Long, Bradley",2ND,W4/W5,SCHW290
45773,BSAD 471:11,BU,3,In-Person,Strategic Management,"Fuller, Mark",1ST,O1/O2,SCHW205
54024,BSAD 471:12,BU,3,Online-Scheduled Delivery,Strategic Management,"Fuller, Mark",1ST,O4/O5,
50744,BSAD 471:21,BU,3,,Strategic Management,"Fuller, Mark",2ND,O1/O2,SCHW205
54769,BSAD 471:22,BU,3,,Strategic Management,"Fuller, Mark",2ND,O4/O5,SCHW205
53713,BSAD 472:20,BU,3,,Env. Sustainability for Orgs.,"Brennan, Theresa (Louise)",2ND,W1/W2,SCHW152
54025,BSAD 473:20,BU,3,,Adv Topics in Responsible Mgmt,"Long, Bradley",2ND,Z4/Z5,SCHW290
51407,BSAD 474:20,BU,3,,Int'l Human Resource Mgmt,"Litz, Stefan",2ND,U4/U5,SCHW290
52064,BSAD 482:20,BU,3,,Bus Intelligence & Analytics,"Mattie, David",2ND,U4/U5,SCHW289
52065,BSAD 483:10,BU,3,Online-Scheduled Delivery,System Analysis & Design,"Palanisamy, Ramaraj",1ST,O7/O8,
52066,BSAD 484:20,BU,3,,SAP Implementation,"Palanisamy, Ramaraj",2ND,O1/O2,SCHW252
55529,BSAD 485:10,BU,3,In-Person,Enterprise Systems Strategy,"Mattie, David",1ST,W7/W8,SCHW152
46424,BSAD 492:20,BU,3,,Consulting Project: Adv.Majors,"MacIsaac, Mark",2ND,X7/X8,SCHW290
43910,BSAD 494:20,BU,3,,Honours Thesis,"Price, Shelley",2ND,X7/X8,SCHW190
54061,BSAD 495:20,BU,3,,ST: Social Media Marketing,"Morrison, Bobbi",2ND,X4/X5,SCHW252
55388,BSAD 498:10,BU,3,In-Person,ST: Indigenous Business,"Price, Shelley",1ST,U4/U5,SCHW205
55342,CATH 101:10,AR,3,In-Person,The Catholic Story,"Stewart, Suzanne",1ST,A4/A5/A6,MULH3022
52264,CATH 102:20,AR,3,,The Catholic Imagination,"Stewart, Suzanne",2ND,A4/A5/A6,MULH3024
55343,CATH 261:10,AR,3,In-Person,Angels and Demons,"Sastri, Martin",1ST,U7/U8,MULH3030
55344,CATH 297:20,AR,3,,ST: Dante's Inferno,"Sastri, Martin",2ND,E5,MULH3026
54796,CELT 101:10,AR,3,Online-Scheduled Delivery,Gaelic Language & Culture I,"Britton, Mhairi",1ST,Z4/Z5,
54797,CELT 102:20,AR,3,,Gaelic Language & Culture II,"Britton, Mhairi",2ND,Z1/Z2,IM113
47554,CELT 131:10,AR,3,Online-Scheduled Delivery,Celtic Civilizations I,"de Vries, Ranke",1ST,Z7/Z8,
47555,CELT 132:20,AR,3,,Celtic Civilizations II,"de Vries, Ranke",2ND,Z7/Z8,MULH3024
54798,CELT 201:10,AR,3,In-Person,Gaelic Language & Culture III,"Britton, Mhairi",1ST,M1/M2,IM201
54799,CELT 202:20,AR,3,,Gaelic Language & Culture IV,"Britton, Mhairi",2ND,Z4/Z5,IM201
55516,CELT 300:00,AR,6,In-Person,Third Year Scottish Gaelic,"Linkletter, Michael",FULL,Z4/Z5,IM202
55517,CELT 319:20,AR,3,,Celtic Music,"MacDonald, Shamus",2ND,U7/U8,IM202
55519,CELT 327:20,AR,3,,Medieval Ireland,"de Vries, Ranke",2ND,W7/W8,SCHW190
55521,CELT 331:10,AR,3,In-Person,Scottish Gael in Scotland,"Linkletter, Michael",1ST,W4/W5,MULH4022
55522,CELT 332:20,AR,3,,Scottish Gael in North America,"Linkletter, Michael",2ND,W4/W5,IM201
55515,CELT 349:20,AR,3,,Medieval Medicine,"de Vries, Ranke",2ND,X4/X5,IM202
54417,CHEM 101:11A,SC,3,In-Person,General Chemistry I,"Orlova, Galina",1ST,C1/C2/C3,MULH2070
54418,CHEM 101:11B,SC,3,In-Person,General Chemistry I,"Orlova, Galina",1ST,C1/C2/C3,MULH2070
54419,CHEM 101:12A,SC,3,In-Person,General Chemistry I,"Crouse, Karen",1ST,C4/C5/C6,MULH2070
54420,CHEM 101:12B,SC,3,In-Person,General Chemistry I,"Crouse, Karen",1ST,C4/C5/C6,MULH2070
54421,CHEM 101:13A,SC,3,In-Person,General Chemistry I,"Aquino, Manuel",1ST,L4/L5/L6,MSBS225
54422,CHEM 101:13B,SC,3,In-Person,General Chemistry I,"Aquino, Manuel",1ST,L4/L5/L6,MSBS225
54423,CHEM 101L:11A,SC,0,In-Person,CHEM 101 Lab,"Orlova, Galina",1ST,X7/Z7,PS1072
54424,CHEM 101L:11B,SC,0,In-Person,CHEM 101 Lab,"Orlova, Galina",1ST,U8/Z8,PS1072
54425,CHEM 101L:12A,SC,0,In-Person,CHEM 101 Lab,"Crouse, Karen",1ST,X1/Z1,PS1072
54426,CHEM 101L:12B,SC,0,In-Person,CHEM 101 Lab,"Crouse, Karen",1ST,O7/W8,PS1072
54427,CHEM 101L:13A,SC,0,In-Person,CHEM 101 Lab,"Aquino, Manuel",1ST,U7/W7,PS1072
54428,CHEM 101L:13B,SC,0,In-Person,CHEM 101 Lab,"Aquino, Manuel",1ST,O1/W2,PS1072
54429,CHEM 102:21A,SC,3,,General Chemistry II,"Orlova, Galina",2ND,C1/C2/C3,IM114
54430,CHEM 102:21B,SC,3,,General Chemistry II,"Orlova, Galina",2ND,C1/C2/C3,IM114
54433,CHEM 102:22A,SC,3,,General Chemistry II,"Crouse, Karen",2ND,C4/C5/C6,MULH2030
54434,CHEM 102:22B,SC,3,,General Chemistry II,"Crouse, Karen",2ND,C4/C5/C6,MULH2030
54437,CHEM 102:23A,SC,3,,General Chemistry II,"Aquino, Manuel",2ND,L4/L5/L6,PS1072
54438,CHEM 102:23B,SC,3,,General Chemistry II,"Aquino, Manuel",2ND,L4/L5/L6,PS1072
54431,CHEM 102L:21A,SC,0,,CHEM 102 Lab,"Orlova, Galina",2ND,X7/Z7,PS1072
54432,CHEM 102L:21B,SC,0,,CHEM 102 Lab,"Orlova, Galina",2ND,U8/Z8,PS1072
54435,CHEM 102L:22A,SC,0,,CHEM 102 Lab,"Crouse, Karen",2ND,X1/Z1,PS1072
54436,CHEM 102L:22B,SC,0,,CHEM 102 Lab,"Crouse, Karen",2ND,O7/W8,PS1072
54439,CHEM 102L:23A,SC,0,,CHEM 102 Lab,"Aquino, Manuel",2ND,U7/W7,PS1072
54440,CHEM 102L:23B,SC,0,,CHEM 102 Lab,"Aquino, Manuel",2ND,O1/W2,PS1072
54441,CHEM 121:10,SC,3,In-Person,Principles of Chemistry I,"Marangoni, Gerrard",1ST,F1/F2/F3,SCHW110
54443,CHEM 121L:11,SC,0,In-Person,CHEM 121 Lab,"Marangoni, Gerrard",1ST,O7/W8,PS1072
54444,CHEM 121L:12,SC,0,In-Person,CHEM 121 Lab,"Marangoni, Gerrard",1ST,U8/Z8,PS1072
54442,CHEM 122:20,SC,3,,Principles of Chemistry II,"Marangoni, Gerrard",2ND,L4/L5/L6,BB237
54445,CHEM 122L:21,SC,0,,CHEM 122 Lab,"Marangoni, Gerrard",2ND,O7/W8,PS1072
54446,CHEM 122L:22,SC,0,,CHEM 122 Lab,"Marangoni, Gerrard",2ND,U8/Z8,PS1072
52151,CHEM 151:10,SC,3,Online-Scheduled Delivery,Fundamental Chemistry,"Crouse, Karen",1ST,A4/A5/A6,
52161,CHEM 151L:11,SC,0,In-Person,CHEM 151 Lab,"Crouse, Karen",1ST,U7/W7,PS1072
52162,CHEM 151L:12,SC,0,In-Person,CHEM 151 Lab,"Crouse, Karen",1ST,T1,PS1072
52330,CHEM 151L:13,SC,0,In-Person,CHEM 151 Lab,"Crouse, Karen",1ST,X7/Z7,PS1072
54413,CHEM 221:10,SC,3,Online-Scheduled Delivery,Organic Chemistry I,"Cormier, James",1ST,L4/L5/L6,
54414,CHEM 221L:11,SC,0,In-Person,CHEM 221 Lab,"Cormier, James",1ST,O7/W8,PS2010
54447,CHEM 221L:12,SC,0,In-Person,CHEM 221 Lab,"Cormier, James",1ST,X7/Z7,PS2010
48633,CHEM 222:20,SC,3,,Organic Chemistry II,"Cormier, James",2ND,L4/L5/L6,MULH2070
48634,CHEM 222L:21,SC,0,,CHEM 222 Lab,"Cormier, James",2ND,O7/W8,PS2010
54448,CHEM 222L:22,SC,0,,CHEM 222 Lab,"Cormier, James",2ND,X7/Z7,PS2010
45053,CHEM 225:10,SC,3,In-Person,Principles of Organic Chem,"Hallett-Tapley, Geniece",1ST,D1/D2/D3,MULH2070
45054,CHEM 225L:11,SC,0,In-Person,CHEM 225 lab,"Hallett-Tapley, Geniece",1ST,O8/X8,PS2010
45055,CHEM 225L:12,SC,0,In-Person,CHEM 225 lab,"Hallett-Tapley, Geniece",1ST,U8/Z8,PS2010
46755,CHEM 231:10,SC,3,In-Person,Physical Chemistry I,"Leaist, Derek",1ST,A1/A2/A3,BB237
40920,CHEM 231L:10,SC,0,In-Person,CHEM 231 Lab,"Leaist, Derek",1ST,O8/X8,PS1072
46756,CHEM 232:20,SC,3,,Physical Chemistry II,"Leaist, Derek",2ND,A1/A2/A3,MULH3030
40921,CHEM 232L:20,SC,0,,CHEM 232 Lab,"Leaist, Derek",2ND,O8/X8,PS1072
45530,CHEM 245:20,SC,3,,Basic Inorganic Chemistry,"MacLean, Brian",2ND,C1/C2/C3,MULH3034
45531,CHEM 245L:20,SC,0,,CHEM 245 Lab,"MacLean, Brian",2ND,U7/W7,PS2010
46757,CHEM 255:20,SC,3,,Intro Biochemistry,"Gulam Razul, M.",2ND,K1/K2/K3,SCHW110
40490,CHEM 255L:21,SC,0,,CHEM 255 Lab,"Gulam Razul, M.",2ND,U8/Z8,PS2010
40491,CHEM 255L:22,SC,0,,CHEM 255 Lab,"Gulam Razul, M.",2ND,O8/X8,PS2010
45532,CHEM 265:10,SC,3,In-Person,Basic Analytical Chemistry,"Marangoni, Gerrard",1ST,C1/C2/C3,SCHW414
45671,CHEM 265L:10,SC,0,In-Person,CHEM 265 Lab,"Marangoni, Gerrard",1ST,U7/W7,PS2010
46032,CHEM 325:10,SC,3,In-Person,Organic Structural Methods,"Cormier, James",1ST,B1/B2/B3,MULH3034
46429,CHEM 325L:10,SC,0,In-Person,CHEM 325 Lab,"Cormier, James",1ST,T1,PS3046
46033,CHEM 331:10,SC,3,In-Person,Intro to Quantum Mechanics,"Leaist, Derek",1ST,A4/A5/A6,PS3046
46034,CHEM 331L:10,SC,0,In-Person,CHEM 331 Lab,"Leaist, Derek",1ST,O7/W8,SCHW190
46035,CHEM 332:20,SC,3,,Intro Spect & Thermodynamics,"Leaist, Derek",2ND,A4/A5/A6,NT412
46036,CHEM 332L:20,SC,0,,CHEM 332 Lab,"Leaist, Derek",2ND,O8/X8,SCHW492
46758,CHEM 341:10,SC,3,In-Person,Inorganic & Theoret Chem I,"MacLean, Brian",1ST,L1/L2/L3,PS3046
40960,CHEM 341L:10,SC,0,In-Person,CHEM 341 Lab,"Aquino, Manuel",1ST,U8/Z8,PS3066
46759,CHEM 342:20,SC,3,,Inorganic & Theoret Chem II,"MacLean, Brian",2ND,L1/L2/L3,PS3046
40961,CHEM 342L:20,SC,0,,CHEM 342 Lab,"MacLean, Brian",2ND,U8/Z8,PS3066
47253,CHEM 355:10,SC,3,In-Person,Advanced Biochemistry,"Gulam Razul, M.",1ST,K1/K2/K3,SCHW190
47254,CHEM 355L:10,SC,0,In-Person,CHEM 355 Lab,"Gulam Razul, M.",1ST,O8/X8,PS3066
46037,CHEM 361:10,SC,3,In-Person,Instru Analytical Spectroscopy,"Bertin, Erwan",1ST,L4/L5/L6,PS3046
46038,CHEM 361L:11,SC,0,In-Person,CHEM 361 Lab,"Bertin, Erwan",1ST,X7/Z7,PS3037
46039,CHEM 361L:12,SC,0,In-Person,CHEM 361 Lab,"Bertin, Erwan",1ST,O7/W8,PS3037
46040,CHEM 362:20,SC,3,,Instru Separations & Analysis,"Bertin, Erwan",2ND,L4/L5/L6,PS3046
46041,CHEM 362L:21,SC,0,,CHEM 362 Lab,"Bertin, Erwan",2ND,X7/Z7,PS3037
46042,CHEM 362L:22,SC,0,,CHEM 362 Lab,"Bertin, Erwan",2ND,O7/W8,PS3037
51520,CHEM 391:00,SC,0,In-Person,Chemistry Seminar I,"Orlova, Galina",FULL,K4/K5/K6,SNP100
46043,CHEM 421:10,SC,3,In-Person,Physical Organic Chemistry,"Orlova, Galina",1ST,A1/A2/A3,CO242
46044,CHEM 421L:10,SC,0,In-Person,CHEM 421 Lab,"Orlova, Galina",1ST,U7/W7,PS1096
46045,CHEM 422:20,SC,3,,Advanced Organic Chemistry,"Hallett-Tapley, Geniece",2ND,A1/A2/A3,PS3046
46046,CHEM 422L:20,SC,0,,CHEM 422 Lab,"Hallett-Tapley, Geniece",2ND,U7/W7,PS3066
55345,CHEM 432:10,SC,3,In-Person,Electrochemical Methods,"MacLean, Brian",1ST,C1/C2/C3,PS3046
55347,CHEM 432L:10,SC,0,In-Person,CHEM 432 Lab,"MacLean, Brian",1ST,TBA,
55346,CHEM 435:20,SC,3,,Intro to Polymer Chemistry,"Crouse, Karen",2ND,K1/K2/K3,PS3046
51047,CHEM 445:20,SC,3,,Intro to Photochemistry,"Hallett-Tapley, Geniece",2ND,B4/B5/B6,CO333
52160,CHEM 455:20,SC,3,,Medicinal Chemistry,"Gulam Razul, M.",2ND,C4/C5/C6,PS3046
52713,CHEM 455L:20,SC,0,,CHEM 455 Lab,"Gulam Razul, M.",2ND,E6,SCHW492
51521,CHEM 491:00,SC,0,In-Person,Chemistry Seminar II,"Bertin, Erwan",FULL,K4/K5/K6,SNP100
46761,CHEM 493:00,SC,3,In-Person,Honours Thesis,"Orlova, Galina",FULL,TBA,
53569,CLAS 111:10,AR,3,In-Person,Latin I,"Carty, Edward (Ed)",1ST,K4/K5/K6,SCHW290
55444,CLAS 112:20,AR,3,,Latin II,"Carty, Edward (Ed)",2ND,K4/K5/K6,CO242
53708,CLEN 101:10,SC,3,In-Person,Intro to the Climate System,"MacDougall, Andrew",1ST,L1/L2/L3,MULH3034
53709,CLEN 101L:10,SC,0,In-Person,CLEN 101 Lab,"MacDougall, Andrew; Vosman, Amanda (Mandy)",1ST,U7/W7,PS1080
53710,CLEN 102:20,SC,3,,Intro to Environmental Systems,"Kellman, Lisa",2ND,L1/L2/L3,MULH4022
53711,CLEN 102L:20,SC,0,,CLEN 102 Lab,"Kellman, Lisa",2ND,U7/W7,SCHW256
55712,CLEN 201:10,SC,3,Online-Scheduled Delivery,Climate Change and People,"Cash, Corrine",1ST,T3,
53686,CLEN 202:20,SC,3,,Understanding Climate Change,"Beltrami, Hugo",2ND,K1/K2/K3,PS2045
53687,CLEN 202L:20,SC,0,,CLEN 202 Lab,"Beltrami, Hugo",2ND,O8/X8,PS1096
55286,CLEN 301:10,SC,3,In-Person,Intro to Science Policy,"Isnor, Richard",1ST,O7/O8,MULH3022
53712,CLEN 302:20,SC,3,,Env. Sustainability for Orgs.,"Brennan, Theresa (Louise)",2ND,W1/W2,SCHW152
55287,CLEN 303:10,SC,3,In-Person,Climate Dynamics,"MacDougall, Andrew",1ST,T2,PS3046
55288,CLEN 303L:10,SC,0,In-Person,CLEN 303 Lab,"MacDougall, Andrew",1ST,T3,PS3046
55289,COOP 130:10,BU,0,,Professional Dev Workshop III,"MacDonald, Susan (Jane); McKenna, Sarah",C12,O8/X8,SCHW205
47922,COOP 401:10,BU,0,,Work Term I,"MacDonald, Susan (Jane); McKenna, Sarah",C2,TBA,
47923,COOP 401:20,BU,0,,Work Term I,"MacDonald, Susan (Jane); McKenna, Sarah",C3,TBA,
47924,COOP 402:10,BU,0,,Work Term II,"MacDonald, Susan (Jane); McKenna, Sarah",C2,TBA,
47925,COOP 402:20,BU,0,,Work Term II,"MacDonald, Susan (Jane); McKenna, Sarah",C3,TBA,
47926,COOP 403:10,BU,0,,Work Term III,"MacDonald, Susan (Jane); McKenna, Sarah",C2,TBA,
47927,COOP 403:20,BU,0,,Work Term III,"MacDonald, Susan (Jane); McKenna, Sarah",C3,TBA,
47928,COOP 404:10,BU,0,,Work Term IV,"MacDonald, Susan (Jane); McKenna, Sarah",C2,TBA,
47929,COOP 404:20,BU,0,,Work Term IV,,C3,TBA,
47930,COOP 405:10,BU,3,,Co-op Debrief & Final Report,"MacDonald, Susan (Jane); McKenna, Sarah",1ST,O8/X8,SCHW156
47931,COOP 405:20,BU,3,,Co-op Debrief & Final Report,"MacDonald, Susan (Jane); McKenna, Sarah",2ND,O8/X8,SCHW289
53821,CSCI 128:20,SC,3,,Coding for Problem Solving,"Page, Daniel",2ND,Z7/Z8,MULH4024
52908,CSCI 135:10,SC,3,In-Person,Comp. Application Technology,"Kedwan, Ftoon",1ST,A4/A5/A6,SCHW256
44866,CSCI 161:11,SC,3,In-Person,Intro to Programming,"Hughes, James",1ST,K4/K5/K6,MULH2070
55779,CSCI 161:12,SC,3,Online-No Scheduled Delivery,Intro to Programming,"Hughes, James",1ST,A4/A5/A6,
44918,CSCI 161L:11,SC,0,In-Person,CSCI 161 Lab,"Hughes, James",1ST,A9/L8,SCHW256
54112,CSCI 161L:12,SC,0,In-Person,CSCI 161 Lab,"Hughes, James",1ST,C9/K9,SCHW256
55793,CSCI 161L:13,SC,0,Online-Scheduled Delivery,CSCI 161 Lab,"Hughes, James",1ST,A7/B7,
55794,CSCI 161L:14,SC,0,Online-Scheduled Delivery,CSCI 161 Lab,"Hughes, James",1ST,K7/L7,
55587,CSCI 162:10,SC,3,Online-Scheduled Delivery,Programming & Data Structures,"Soufan, Othman",1ST,C1/C2/C3,
44768,CSCI 162:20,SC,3,,Programming & Data Structures,"Hughes, James",2ND,K4/K5/K6,MULH2032
44920,CSCI 162L:21,SC,0,,CSCI 162 Lab,"Hughes, James",2ND,A9/L8,SCHW256
47895,CSCI 162L:22,SC,0,,CSCI 162 Lab,"Hughes, James",2ND,C9/K9,SCHW252
52099,CSCI 215:20,SC,3,,Social Issues: Information Age,"Kedwan, Ftoon",2ND,E6,SCHW152
53822,CSCI 223:10,SC,3,In-Person,Introduction to Data Science,"Kedwan, Ftoon",1ST,K7/K8/K9,MULH2070
